Test	Animal	Time	Date	Segment of test	Whole arena : distance	Whole arena : average speed	Whole arena : time mobile	Whole arena : time immobile	10 cm edge : time	10 cm edge : distance	10 cm edge : average speed	10 cm edge : time mobile	10 cm edge : time immobile	Center : time	Center : distance	Center : average speed	Center : time mobile	Center : time immobile	ID
1	20	13:19	10/17/2016	0 - 5 secs.	0.249	0.077	5	0	5	0.249	0.077	5	0	0	0		0	0	20
2	21	13:19	10/17/2016	0 - 5 secs.	0.572	0.123	5	0	3	0.296	0.125	3	0	2.1	0.276	0.12	2.1	0	21
3	22	13:20	10/17/2016	0 - 5 secs.	0.373	0.083	5	0	5	0.373	0.083	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	0 - 5 secs.	0.053	0.054	5	0	2.3	0.027	0.12	2.3	0	2.7	0.025	0	2.7	0	23
5	24	14:03	10/17/2016	0 - 5 secs.	0.453	0.109	5	0	1.3	0.087	0.087	1.3	0	3.7	0.366	0.117	3.7	0	24
6	25	14:04	10/17/2016	0 - 5 secs.	0.428	0.103	5	0	5	0.428	0.094	5	0	0	0		0	0	25
7	26	14:04	10/17/2016	0 - 5 secs.	0.074	0.051	5	0	5	0.074	0.047	5	0	0	0		0	0	26
8	27	14:04	10/17/2016	0 - 5 secs.	0	0	0.5	4.5	5	0	0	0.5	4.5	0	0		0	0	27
9	28	14:43	10/17/2016	0 - 5 secs.	0.498	0.142	5	0	3.2	0.289	0.155	3.2	0	1.8	0.209	0.12	1.8	0	28
10	29	14:43	10/17/2016	0 - 5 secs.	0.339	0.106	5	0	3.8	0.179	0.079	3.8	0	1.2	0.161	0.191	1.2	0	29
11	30	14:44	10/17/2016	0 - 5 secs.	0.241	0.077	5	0	5	0.241	0.077	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	0 - 5 secs.	0.336	0.095	5	0	1.7	0.05	0.035	1.7	0	3.3	0.285	0.126	3.3	0	31
13	32	15:23	10/17/2016	0 - 5 secs.	0.221	0.035	5	0	5	0.221	0.035	5	0	0	0		0	0	32
14	33	15:23	10/17/2016	0 - 5 secs.	0.455	0.113	5	0	5	0.455	0.113	5	0	0	0		0	0	33
15	34	15:24	10/17/2016	0 - 5 secs.	0.069	0.033	2.6	2.4	5	0.069	0.019	2.6	2.4	0	0		0	0	34
16	35	15:24	10/17/2016	0 - 5 secs.	0.055	0.045	5	0	2.2	0	0.04	2.2	0	2.8	0.055	0.05	2.8	0	35
17	36	16:08	10/17/2016	0 - 5 secs.	0	0	2.3	2.7	0	0		0	0	5	0	0	2.3	2.7	36
18	37	16:08	10/17/2016	0 - 5 secs.	0.19	0.062	5	0	5	0.19	0.062	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	0 - 5 secs.	0.028	0.021	1	4	5	0.028	0.021	1	4	0	0		0	0	38
20	39	16:09	10/17/2016	0 - 5 secs.	0.096	0.042	5	0	5	0.096	0.027	5	0	0	0		0	0	39
1	20	13:19	10/17/2016	5 - 10 secs.	0.068	0.027	5	0	5	0.068	0.027	5	0	0	0		0	0	20
2	21	13:19	10/17/2016	5 - 10 secs.	0.5	0.116	5	0	5	0.5	0.116	5	0	0	0		0	0	21
3	22	13:20	10/17/2016	5 - 10 secs.	0.296	0.079	5	0	5	0.296	0.079	5	0	0	0		0	0	22
