Test	Animal	Treatment	Code	Apparatus	Time	Animal notes	Segment of test	WholeArena : time	WholeArena : distance	WholeArena : average speed	WholeArena : time mobile	WholeArena : time immobile	WholeArena : immobile episodes	Edge10cm : time	Edge10cm : distance	Edge10cm : time mobile	Edge10cm : time immobile	Edge10cm : immobile episodes	Edge10cm : freezing episodes	Edge10cm : time freezing	Center30cm : time	Center30cm : distance	Center30cm : time mobile	Center30cm : time immobile	Center30cm : freezing episodes	Center30cm : time freezing	ID	DOB	Group
1	1	A	A	Field1	14:04		0 - 1 secs.	1.0	0.000	0.000	0.0	1.0	1	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	0.0	1.0	1	1.0	1		sham
1	1	A	A	Field1	14:04		1 - 2 secs.	1.0	0.000	0.028	0.0	1.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	0.0	1.0	0	0.4	1		sham
1	1	A	A	Field1	14:04		2 - 3 secs.	1.0	0.000	0.000	0.0	1.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	0.0	1.0	1	0.9	1		sham
1	1	A	A	Field1	14:04		3 - 4 secs.	1.0	0.000	0.074	0.0	1.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	0.0	1.0	1	0.7	1		sham
1	1	A	A	Field1	14:04		4 - 5 secs.	1.0	0.000	0.021	0.4	0.6	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	0.4	0.6	0	0.6	1		sham
1	1	A	A	Field1	14:04		5 - 6 secs.	1.0	0.043	0.078	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.043	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		6 - 7 secs.	1.0	0.020	0.056	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.020	1.0	0.0	1	0.3	1		sham
1	1	A	A	Field1	14:04		7 - 8 secs.	1.0	0.000	0.034	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	1.0	0.0	0	0.2	1		sham
1	1	A	A	Field1	14:04		8 - 9 secs.	1.0	0.019	0.066	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.019	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		9 - 10 secs.	1.0	0.067	0.117	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.067	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		10 - 11 secs.	1.0	0.039	0.117	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.039	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		11 - 12 secs.	1.0	0.063	0.103	1.0	0.0	0	0.9	0.063	0.9	0.0	0	0	0.0	0.1	0.000	0.1	0.0	0	0.0	1		sham
