,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,
,,USB Interface REV 2 [1-FTV64L2L],,,,,,,,,,,,,
,     Experiment Name: RennnerRW_10-14-2016-OFT,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,
,     Start Time: 10/14/2016 15:31:05,,,,,,,,,,,,,,
,     Stop Time: ~10/24/2016 15:31:05,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12, 1-13, 1-14, 1-15
Counter/Animal ID, , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 10/14/2016 15:23:36
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Distance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:24:36
Interval Count,4.72,6.07,8.72,5.84,4.05,1.76,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
Average m/min.,1.89,2.43,3.49,2.34,1.62,0.71,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Distance,1.89,2.43,3.49,2.34,1.62,0.71,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,4.72,6.07,8.72,5.84,4.05,1.76,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:25:36
Interval Count,0,0,3.63,0.29,0.5,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,1.45,0.11,0.2,0,0,0,0,0,0,0,0,0,0
Distance,1.89,2.43,4.94,2.45,1.82,0.71,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,4.72,6.07,12.36,6.13,4.55,1.76,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:26:36
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,1.89,2.43,4.94,2.45,1.82,0.71,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,4.72,6.07,12.36,6.13,4.55,1.76,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:27:36
Interval Count,3.97,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,1.59,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,3.48,6.32,4.94,2.45,1.82,0.71,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,8.7,15.79,12.36,6.13,4.55,1.76,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:28:36
Interval Count,11.83,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,4.73,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,8.21,15.72,4.94,2.45,1.82,0.71,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,20.53,39.29,12.36,6.13,4.55,1.76,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:29:36
Interval Count,0.64,2.45,0.93,0.28,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0.26,0.97,0.38,0.11,0,0,0,0,0,0,0,0,0,0,0
Distance,8.47,16.69,5.32,2.56,1.82,0.71,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,21.17,41.74,13.29,6.41,4.55,1.76,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:30:36
Interval Count,10.01,5.09,0.16,4.22,0.04,0,0,0,0,0,0,0,0,0,0
Average m/min.,4,2.04,0.06,1.69,0.02,0,0,0,0,0,0,0,0,0,0
Distance,12.47,18.73,5.38,4.25,1.84,0.71,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,31.18,46.83,13.45,10.63,4.59,1.76,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:31:36
Interval Count,0,24.5,0.42,9.12,5.59,1.54,0,0,0,0,0,0,0,0,0
Average m/min.,0,9.79,0.17,3.65,2.23,0.61,0,0,0,0,0,0,0,0,0
Distance,12.47,28.53,5.55,7.9,4.07,1.32,2.69,2.96,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,31.18,71.33,13.87,19.75,10.18,3.3,6.72,7.41,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:32:36
Interval Count,0.18,8.97,3.95,2.05,9.89,3.7,31.28,6.75,0,0,0,0,0,0,0
Average m/min.,0.08,3.59,1.58,0.82,3.96,1.48,12.51,2.7,0,0,0,0,0,0,0
Distance,12.55,32.12,7.13,8.72,8.03,2.8,15.2,5.66,0.34,1.19,0.44,1.27,1.51,0.34,0
Total Counts,31.37,80.3,17.82,21.8,20.08,7,38,14.16,0.86,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:33:36
Interval Count,0,15.78,6.16,1.18,7.57,2.76,8.33,1.16,0.21,0,0,0,0,0,0
Average m/min.,0,6.3,2.46,0.47,3.03,1.11,3.33,0.47,0.09,0,0,0,0,0,0
Distance,12.55,38.43,9.59,9.19,11.06,3.91,18.53,6.13,0.43,1.19,0.44,1.27,1.51,0.34,0
Total Counts,31.37,96.08,23.97,22.99,27.64,9.76,46.33,15.32,1.07,2.99,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:34:36
Interval Count,0,1.89,0.79,0.47,10.87,4.01,23.78,0.03,2.28,8.64,0,0,0,0,0
Average m/min.,0,0.76,0.32,0.19,4.35,1.6,9.51,0.01,0.91,3.46,0,0,0,0,0
Distance,12.55,39.19,9.91,9.38,15.41,5.51,28.04,6.14,1.34,4.65,0.44,1.27,1.51,0.34,0
Total Counts,31.37,97.97,24.76,23.46,38.51,13.78,70.11,15.34,3.34,11.63,1.11,3.18,3.76,0.86,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:35:36
Interval Count,24.2,11.05,1.58,7.09,29.01,0.32,2.34,0.01,8.25,7.86,4.55,0,0,0,0
