,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,
,,USB Interface REV 2 [1-FTV64L2L],,,,,,,,,,,,,
,     Experiment Name: RennerRw_10-3-16,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,
,     Start Time: 10/3/2016 13:29:13,,,,,,,,,,,,,,
,     Stop Time: ~10/13/2016 13:29:13,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12, 1-13, 1-14, 1-15
Counter/Animal ID, , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 10/03/2016 13:21:44
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Distance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:22:44
Interval Count,7.78,5.66,7.49,1.92,1.13,0.84,9.51,0.32,1.3,1.72,0.84,2.8,3.72,5.37,0
Average m/min.,3.11,2.26,2.99,0.77,0.45,0.34,3.81,0.13,0.52,0.69,0.34,1.12,1.49,2.15,0
Distance,3.11,2.26,2.99,0.77,0.45,0.34,3.81,0.13,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,7.78,5.66,7.49,1.92,1.13,0.84,9.51,0.32,1.3,1.72,0.84,2.8,3.72,5.37,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:23:44
Interval Count,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,3.11,2.26,2.99,0.77,0.45,0.34,3.81,0.13,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,7.78,5.66,7.49,1.93,1.13,0.84,9.51,0.32,1.3,1.72,0.84,2.8,3.72,5.37,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:24:44
Interval Count,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,3.22,2.37,2.99,0.77,0.45,0.34,3.81,0.13,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,8.04,5.92,7.49,1.93,1.13,0.84,9.51,0.32,1.3,1.72,0.84,2.8,3.72,5.37,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:25:44
Interval Count,1.3,0.58,0,0.01,0,0,0,0.04,0,0,0,0,0,0,0
Average m/min.,0.52,0.23,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0
Distance,3.74,2.6,2.99,0.78,0.45,0.34,3.81,0.14,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,9.34,6.5,7.49,1.95,1.13,0.84,9.51,0.36,1.3,1.72,0.84,2.8,3.72,5.37,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:26:44
Interval Count,3.01,4.37,0.09,0.57,0.18,0.08,0,0,0,0,0,0,0,0,0
Average m/min.,1.2,1.75,0.04,0.23,0.08,0.03,0,0,0,0,0,0,0,0,0
Distance,4.94,4.35,3.03,1.01,0.53,0.37,3.81,0.14,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,12.36,10.87,7.58,2.51,1.32,0.92,9.51,0.36,1.3,1.72,0.84,2.8,3.72,5.37,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:27:44
Interval Count,0.58,5.75,0,3.17,2.08,0,0,0,0,0,0,0,0,0.01,0
Average m/min.,0.23,2.3,0,1.26,0.83,0,0,0,0,0,0,0,0,0,0
Distance,5.17,6.65,3.03,2.27,1.36,0.37,3.81,0.14,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,12.93,16.62,7.58,5.68,3.39,0.92,9.51,0.36,1.3,1.72,0.84,2.8,3.72,5.38,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:28:44
Interval Count,0.64,8.8,0.01,3.91,3.13,0.75,0.01,0.01,0,0,0,0,0,0,0
Average m/min.,0.26,3.52,0.01,1.57,1.25,0.3,0,0.01,0,0,0,0,0,0,0
Distance,5.43,10.17,3.04,3.84,2.61,0.67,3.81,0.15,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,13.58,25.42,7.59,9.59,6.53,1.67,9.53,0.37,1.3,1.72,0.84,2.8,3.72,5.38,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:29:44
Interval Count,1.84,17.68,0.09,4.46,0,3.07,0.8,0.03,0,0,0,0,0,0,0
Average m/min.,0.74,7.07,0.03,1.78,0,1.22,0.32,0.01,0,0,0,0,0,0,0
Distance,6.17,17.24,3.07,5.62,2.61,1.89,4.13,0.16,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,15.42,43.11,7.68,14.05,6.53,4.74,10.33,0.39,1.3,1.72,0.84,2.8,3.72,5.38,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:30:44
Interval Count,7.68,20.79,4.95,4.64,0,0.92,0.3,0.57,0,0,0,0,0,0,0
Average m/min.,3.07,8.32,1.98,1.86,0,0.37,0.12,0.22,0,0,0,0,0,0,0
Distance,9.24,25.56,5.05,7.48,2.61,2.26,4.25,0.38,0.52,0.69,0.34,1.12,1.49,2.15,0
Total Counts,23.11,63.89,12.63,18.7,6.53,5.66,10.63,0.96,1.3,1.72,0.84,2.8,3.72,5.38,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:31:44
Interval Count,9.54,19.03,5.47,5.12,0.97,0.03,5.01,1.07,0,0.28,3.63,0,0.01,0,0
Average m/min.,3.82,7.61,2.19,2.05,0.39,0.01,2.01,0.43,0,0.11,1.45,0,0,0,0
Distance,13.06,33.17,7.24,9.53,3,2.27,6.26,0.81,0.52,0.8,1.79,1.12,1.49,2.15,0
Total Counts,32.64,82.92,18.11,23.82,7.5,5.68,15.64,2.03,1.3,2,4.47,2.8,3.74,5.38,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:32:44
Interval Count,17.63,10.11,13.22,2.82,3.14,0,2.63,6.16,0.08,1.34,8.95,0.76,0.26,0.01,0
Average m/min.,7.05,4.04,5.29,1.12,1.26,0,1.05,2.46,0.03,0.54,3.58,0.31,0.11,0.01,0
Distance,20.11,37.21,12.53,10.65,4.26,2.27,7.31,3.27,0.55,1.34,5.37,1.43,1.6,2.16,0
Total Counts,50.28,93.03,31.33,26.63,10.64,5.68,18.28,8.18,1.38,3.34,13.42,3.57,4,5.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:33:44
