,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,
,,USB Interface REV 2 [1-FTV64L2L],,,,,,,,,,,,,
,     Experiment Name: RennerRw_10-7-16,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,
,     Start Time: 10/7/2016 14:00:10,,,,,,,,,,,,,,
,     Stop Time: ~10/17/2016 14:00:10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12, 1-13, 1-14, 1-15
Counter/Animal ID, , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 10/07/2016 13:52:41
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Distance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Counts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:53:41
Interval Count,6,2.18,0,0.32,6.72,1.13,0.83,0.03,0,0,0.21,0,0,0,0
Average m/min.,2.4,0.87,0,0.13,2.69,0.45,0.33,0.01,0,0,0.08,0,0,0,0
Distance,2.4,0.87,0,0.13,2.69,0.45,0.33,0.01,0,0,0.08,0,0,0,0
Total Counts,6,2.18,0,0.32,6.72,1.13,0.83,0.03,0,0,0.21,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:54:41
Interval Count,16.25,0.14,0,0.28,26.2,0,13.92,1.38,0,0,0,0,0,0,0
Average m/min.,6.5,0.06,0,0.11,10.49,0,5.57,0.55,0,0,0,0,0,0,0
Distance,8.9,0.93,0,0.24,13.17,0.45,5.9,0.56,0,0,0.08,0,0,0,0
Total Counts,22.25,2.33,0,0.59,32.92,1.13,14.75,1.41,0,0,0.21,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:55:41
Interval Count,0,0,0,0,23.72,0.03,23.66,2.66,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,9.48,0.01,9.45,1.07,0,0,0,0,0,0,0
Distance,8.9,0.93,0,0.24,22.66,0.46,15.36,1.63,0,0,0.08,0,0,0,0
Total Counts,22.25,2.33,0,0.59,56.64,1.16,38.41,4.07,0,0,0.21,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:56:41
Interval Count,0,0,0,0,19.42,0,12.91,42.47,0,0,1.93,0,0,0,0
Average m/min.,0,0,0,0,7.77,0,5.17,17,0,0,0.78,0,0,0,0
Distance,8.9,0.93,0,0.24,30.43,0.46,20.53,18.62,0,0,0.86,0,0,0,0
Total Counts,22.25,2.33,0,0.59,76.07,1.16,51.32,46.54,0,0,2.14,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:57:41
Interval Count,0,0,0,0,3.61,0.01,8.21,33.61,2.76,5.79,0.09,0,0,0,0
Average m/min.,0,0,0,0,1.44,0.01,3.28,13.44,1.11,2.32,0.03,0,0,0,0
Distance,8.9,0.93,0,0.24,31.87,0.47,23.81,32.06,1.11,2.32,0.89,0,0,0,0
Total Counts,22.25,2.33,0,0.59,79.67,1.17,59.53,80.14,2.76,5.79,2.24,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:58:41
Interval Count,0,0,0,0,32.26,0.26,2.7,35.68,0,27.25,1.39,0,0.03,0,0
Average m/min.,0,0,0,0,12.89,0.1,1.08,14.25,0,10.89,0.56,0,0.01,0,0
Distance,8.9,0.93,0,0.24,44.77,0.57,24.89,46.33,1.11,13.22,1.45,0,0.01,0,0
Total Counts,22.25,2.33,0,0.59,111.93,1.43,62.22,115.83,2.76,33.04,3.63,0,0.03,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 13:59:41
Interval Count,0,0,0,0,34.55,0,0.01,40.54,0.03,5.22,12.2,0,0,0,0
Average m/min.,0,0,0,0,13.82,0,0,16.22,0.01,2.09,4.88,0,0,0,0
Distance,8.9,0.93,0,0.24,58.59,0.57,24.89,62.55,1.12,15.31,6.33,0,0.01,0,0
Total Counts,22.25,2.33,0,0.59,146.49,1.43,62.24,156.37,2.79,38.26,15.83,0,0.03,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 14:00:41
Interval Count,0,0,0,0,30.29,0,0,31.09,0,0.08,0.72,0,0,0,0
Average m/min.,0,0,0,0,12.13,0,0,12.43,0,0.03,0.29,0,0,0,0
Distance,8.9,0.93,0,0.24,70.71,0.57,24.89,74.98,1.12,15.34,6.62,0,0.01,0,0
Total Counts,22.25,2.33,0,0.59,176.78,1.43,62.24,187.46,2.79,38.34,16.55,0,0.03,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 14:01:41
Interval Count,0,0,0,0.01,33.92,0,0,53.5,4.92,0,1,0,0,0,0
Average m/min.,0,0,0,0,13.55,0,0,21.38,1.96,0,0.4,0,0,0,0
Distance,8.9,0.93,0,0.24,84.28,0.57,24.89,96.38,3.08,15.34,7.02,0,0.01,0,0
Total Counts,22.25,2.33,0,0.61,210.7,1.43,62.24,240.96,7.71,38.34,17.55,0,0.03,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 14:02:41
Interval Count,18.83,0,0.47,0,43.18,0,0,22.34,0.03,0,0.01,0,0,0.61,0
Average m/min.,7.53,0,0.19,0,17.29,0,0,8.95,0.01,0,0.01,0,0,0.24,0
Distance,16.43,0.93,0.19,0.24,101.55,0.57,24.89,105.32,3.09,15.34,7.03,0,0.01,0.24,0
Total Counts,41.08,2.33,0.47,0.61,253.88,1.43,62.24,263.3,7.74,38.34,17.57,0,0.03,0.61,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 14:03:41
Interval Count,17.59,0,0.14,0,34.34,0,0,21.37,2.55,0,0,0,0,3.64,0
Average m/min.,7.04,0,0.06,0,13.73,0,0,8.54,1.03,0,0,0,0,1.46,0
Distance,23.47,0.93,0.25,0.24,115.29,0.57,24.89,113.87,4.12,15.34,7.03,0,0.01,1.7,0
Total Counts,58.67,2.33,0.62,0.61,288.22,1.43,62.24,284.67,10.29,38.34,17.57,0,0.03,4.25,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 14:04:41
Interval Count,0,0,0,0,34.55,0,0,28.5,0,0,0,0,0,12.26,0
Average m/min.,0,0,0,0,13.82,0,0,11.41,0,0,0,0,0,4.91,0
Distance,23.47,0.93,0.25,0.24,129.11,0.57,24.89,125.27,4.12,15.34,7.03,0,0.01,6.61,0
Total Counts,58.67,2.33,0.62,0.61,322.78,1.43,62.24,313.17,10.29,38.34,17.57,0,0.03,16.51,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 14:05:41
