,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,
,,USB Interface REV 2 [1-FTV64L2L],,,,,,,,,,,,,
,     Experiment Name: RennerRW_10.19.2016 (OFTmice),,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,
,     Start Time: 10/19/2016 9:49:09,,,,,,,,,,,,,,
,     Stop Time: ~10/29/2016 9:49:09,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12, 1-13, 1-14, 1-15
Counter/Animal ID, , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 10/19/2016 09:41:40
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40132.79,40472.35,10969.41,6337.17,15273.77,2079.27,20447.72,50587.46,21799.12,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100331.97,101180.88,27423.53,15842.92,38184.42,5198.18,51119.29,126468.64,54497.8,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:42:40
Interval Count,0,0,0,0,0,1.66,5.32,4.17,1.46,5.24,1.13,2.96,2.47,2.59,0
Average m/min.,0,0,0,0,0,0.66,2.13,1.67,0.58,2.09,0.46,1.18,0.99,1.04,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.45,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.63,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:43:40
Interval Count,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:44:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:45:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:46:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:47:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:48:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:49:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:50:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:51:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
Total Counts,49364.24,68030.33,116345.46,100363.11,42976.28,100333.97,101186.2,27427.7,15844.38,38189.66,5199.32,51122.25,126471.12,54500.39,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 09:52:40
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,19745.69,27212.13,46538.18,40145.24,17190.51,40133.59,40474.48,10971.08,6337.75,15275.86,2079.73,20448.9,50588.45,21800.16,0
