,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,,
,,USB Interface REV 1 [1-FTDH63QW],,,,,,,,,,,,,,
,,USB Interface REV 2 [2-FTV64L2L],,,,,,,,,,,,,,
,     Experiment Name: Wolff_2-18-17,,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,,
,     Start Time: 2/18/2017 12:22:59,,,,,,,,,,,,,,,
,     Stop Time: ~2/28/2017 12:22:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15
Counter/Animal ID, , , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 2/18/2017 12:23:00,,,,,,,,,,,,,,,,
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Distance,0,0,0.28,0,0,0,0,0.06,0,0,0,0,0.05,0,0,0
Total Counts,0,0,0.7,0,0,0,0,0.14,0,0,0,0,0.13,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:24:00,,,,,,,,,,,,,,,,
Interval Count,1.93,1.08,13.2,2.03,1.01,2.66,0.59,7.71,1.55,1.12,12.76,0.75,2.54,3.22,0.97,2.92
Average m/min.,0.77,0.43,5.28,0.81,0.41,1.06,0.24,3.08,0.62,0.45,5.11,0.3,1.02,1.29,0.39,1.17
Distance,0.77,0.43,5.56,0.81,0.41,1.06,0.24,3.14,0.62,0.45,5.11,0.3,1.07,1.29,0.39,1.17
Total Counts,1.93,1.08,13.89,2.03,1.01,2.66,0.59,7.86,1.55,1.12,12.76,0.75,2.67,3.22,0.97,2.92
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:25:00,,,,,,,,,,,,,,,,
Interval Count,0.07,0,0.41,0,0.79,15.38,0,0,0,0.95,25.72,0.47,0,32.49,0.03,26.91
Average m/min.,0.03,0,0.16,0,0.31,6.16,0,0,0,0.38,10.27,0.19,0,12.99,0.01,10.76
Distance,0.8,0.43,5.72,0.81,0.72,7.22,0.24,3.14,0.62,0.83,15.39,0.49,1.07,14.28,0.4,11.93
Total Counts,2,1.08,14.3,2.03,1.8,18.04,0.59,7.86,1.55,2.07,38.49,1.22,2.67,35.71,1,29.83
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:26:00,,,,,,,,,,,,,,,,
Interval Count,0,0,0,0,0.04,53.01,0,1.82,0,8.08,25.28,6.99,0.05,11.64,0.45,24.43
Average m/min.,0,0,0,0,0.02,21.18,0,0.73,0,3.23,10.12,2.79,0.02,4.66,0.18,9.77
Distance,0.8,0.43,5.72,0.81,0.74,28.42,0.24,3.87,0.62,4.06,25.51,3.28,1.09,18.94,0.58,21.71
Total Counts,2,1.08,14.3,2.03,1.84,71.05,0.59,9.67,1.55,10.14,63.76,8.21,2.72,47.36,1.45,54.26
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:27:00,,,,,,,,,,,,,,,,
Interval Count,0,0,17.67,0.11,5.12,57.49,0,2.08,0,9.76,0,3.67,0,6.88,4.21,7.87
Average m/min.,0,0,7.07,0.04,2.04,23,0,0.83,0,3.9,0,1.47,0,2.75,1.68,3.14
Distance,0.8,0.43,12.79,0.85,2.78,51.42,0.24,4.7,0.62,7.96,25.51,4.75,1.09,21.69,2.26,24.85
Total Counts,2,1.08,31.97,2.13,6.96,128.54,0.59,11.75,1.55,19.91,63.76,11.88,2.72,54.24,5.66,62.13
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:28:00,,,,,,,,,,,,,,,,
Interval Count,0,0,26.29,0,32.26,7.68,0,10.25,14.09,3.5,2.63,1.12,0.34,0.01,10.18,0.21
Average m/min.,0,0,10.52,0,12.91,3.07,0,4.1,5.65,1.4,1.05,0.45,0.14,0.01,4.08,0.09
Distance,0.8,0.43,23.31,0.85,15.69,54.49,0.24,8.8,6.26,9.36,26.56,5.2,1.23,21.7,6.34,24.94
Total Counts,2,1.08,58.26,2.13,39.22,136.22,0.59,22,15.64,23.41,66.39,13,3.07,54.25,15.84,62.34
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:29:00,,,,,,,,,,,,,,,,
Interval Count,0.62,0,18.55,0,6.34,23.87,0,15.72,1.96,2.26,2.41,4.29,2.01,0.55,11.37,34.21
Average m/min.,0.25,0,7.42,0,2.54,9.54,0,6.28,0.78,0.91,0.96,1.72,0.8,0.22,4.54,13.68
Distance,1.05,0.43,30.73,0.85,18.23,64.04,0.24,15.09,7.04,10.27,27.52,6.92,2.03,21.92,10.88,38.62
Total Counts,2.62,1.08,76.82,2.13,45.57,160.09,0.59,37.72,17.61,25.67,68.8,17.29,5.08,54.8,27.21,96.55
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:30:00,,,,,,,,,,,,,,,,
Interval Count,1.08,0,0.32,0,32.57,29.66,0,1.75,0,4.37,22.45,0.01,11.57,0,20.67,8.01
Average m/min.,0.43,0,0.12,0,13.02,11.87,0,0.7,0,1.75,8.98,0,4.63,0,8.26,3.21
Distance,1.48,0.43,30.85,0.85,31.25,75.9,0.24,15.79,7.04,12.02,36.5,6.92,6.66,21.92,19.15,41.83
Total Counts,3.7,1.08,77.13,2.13,78.13,189.75,0.59,39.47,17.61,30.04,91.25,17.3,16.64,54.8,47.88,104.57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:31:00,,,,,,,,,,,,,,,,
Interval Count,7.63,0,22.42,0,3.26,36.82,0,0.54,0,5.83,0.03,0.16,24.14,16.7,9.29,34.7
Average m/min.,3.05,0,8.96,0,1.31,14.71,0,0.22,0,2.33,0.01,0.06,9.66,6.68,3.72,13.87
Distance,4.53,0.43,39.82,0.85,32.56,90.63,0.24,16.01,7.04,14.35,36.51,6.98,16.32,28.6,22.87,55.71
Total Counts,11.33,1.08,99.55,2.13,81.39,226.57,0.59,40.01,17.61,35.87,91.28,17.46,40.79,71.5,57.17,139.26
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:32:00,,,,,,,,,,,,,,,,
Interval Count,4.76,0,45.39,0,0,40.01,0,1.63,31.75,0,0.39,0,8.13,15.66,0.16,31.14
Average m/min.,1.91,0,18.16,0,0,16.01,0,0.65,12.7,0,0.16,0,3.25,6.26,0.06,12.45
Distance,6.44,0.43,57.98,0.85,32.56,106.63,0.24,16.66,19.74,14.35,36.67,6.98,19.57,34.86,22.93,68.16
Total Counts,16.09,1.08,144.95,2.13,81.39,266.58,0.59,41.64,49.36,35.87,91.67,17.46,48.92,87.16,57.33,170.41
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
