,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/22/2017 17:19:43
,     Stop Time: ~4/1/2017 17:19:43


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



 03/22/2017 17:12:14
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Distance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 17:13:14
Interval Count,0.93,3.05,1.07,1.72,0.68,0.21,0.05,0.91,1.25,0.41,0.62,0.39,1.11,0.33,0.63,1.18,
Average m/min.,0.37,1.22,0.43,0.69,0.27,0.08,0.02,0.36,0.50,0.16,0.25,0.16,0.44,0.13,0.25,0.47,
Distance,0.37,1.22,0.43,0.69,0.27,0.08,0.02,0.36,0.50,0.16,0.25,0.16,0.44,0.13,0.25,0.47,
Total Counts,0.93,3.05,1.07,1.72,0.68,0.21,0.05,0.91,1.25,0.41,0.62,0.39,1.11,0.33,0.63,1.18,


 17:14:14
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.37,1.22,0.43,0.69,0.27,0.08,0.02,0.36,0.50,0.16,0.25,0.16,0.44,0.13,0.25,0.47,
