,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_5-17-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 5/17/2017 14:26:22
,     Stop Time: ~5/27/2017 14:26:22


Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



 05/17/2017 14:18:53
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Distance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 14:19:53
Interval Count,6.45,7.61,8.13,7.99,3.78,2.68,0.36,1.03,0.38,5.70,0.83,3.54,6.46,3.46,0.00,
Average m/min.,2.58,3.04,3.25,3.19,1.51,1.07,0.14,0.41,0.15,2.28,0.33,1.42,2.58,1.38,0.00,
Distance,2.58,3.04,3.25,3.19,1.51,1.07,0.14,0.41,0.15,2.28,0.33,1.42,2.58,1.38,0.00,
Total Counts,6.45,7.61,8.13,7.99,3.78,2.68,0.36,1.03,0.38,5.70,0.83,3.54,6.46,3.46,0.00,


 14:20:53
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,
Distance,2.58,3.04,3.25,3.19,1.51,1.07,0.14,0.41,0.15,2.28,0.33,1.42,2.58,1.39,0.00,
Total Counts,6.45,7.61,8.13,7.99,3.78,2.68,0.36,1.03,0.38,5.70,0.83,3.54,6.46,3.47,0.00,


 14:21:53
Interval Count,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,
Average m/min.,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,
Distance,2.58,3.04,3.26,3.19,1.51,1.07,0.14,0.41,0.15,2.28,0.33,1.42,2.60,1.39,0.00,
Total Counts,6.46,7.61,8.14,7.99,3.78,2.68,0.36,1.03,0.38,5.70,0.83,3.54,6.50,3.47,0.00,


 14:22:53
Interval Count,0.03,0.11,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.01,0.04,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,2.59,3.08,3.26,3.19,1.62,1.07,0.14,0.41,0.15,2.28,0.33,1.42,2.60,1.39,0.00,
Total Counts,6.49,7.71,8.14,7.99,4.05,2.68,0.36,1.03,0.38,5.70,0.83,3.54,6.50,3.47,0.00,


 14:23:53
Interval Count,0.00,0.16,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,
Average m/min.,0.00,0.07,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,
Distance,2.59,3.15,3.26,3.19,1.79,1.07,0.14,0.41,0.15,2.28,0.34,1.42,2.61,1.39,0.00,
Total Counts,6.49,7.87,8.14,7.99,4.47,2.68,0.36,1.03,0.38,5.70,0.86,3.54,6.51,3.47,0.00,


 14:24:53
Interval Count,0.36,0.71,0.24,0.00,0.46,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,
