,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,
,,USB Interface REV 2 [2-FTV64L2L],,,,,,,,,,,,,
,     Experiment Name: Wolff_5-17-2017,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,
,     Start Time: 6/2/2017 12:17:21,,,,,,,,,,,,,,
,     Stop Time: ~6/12/2017 12:17:21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15
Counter/Animal ID, , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 06/02/2017 12:09:52
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Distance,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0,0.01
Total Counts,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:10:52
Interval Count,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
Distance,0,0.01,0,0.01,0,0.01,0.01,0.05,0.01,0.01,0.01,0,0.01,0,0.01
Total Counts,0,0.01,0,0.01,0,0.01,0.01,0.13,0.01,0.01,0.01,0,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:11:52
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Distance,0,0.01,0,0.01,0,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,0,0.01,0,0.01,0,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:12:52
Interval Count,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
Distance,0,0.01,0,0.01,0,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,0,0.01,0,0.01,0,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:13:52
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,0,0.01,0,0.01,0,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,0,0.01,0,0.01,0,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:14:52
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,0,0.01,0,0.01,0,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,0,0.01,0,0.01,0,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:15:52
Interval Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distance,0,0.01,0,0.01,0,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,0,0.01,0,0.01,0,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:16:52
Interval Count,0,0,4.68,0,0.08,0,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,1.87,0,0.03,0,0,0,0,0,0,0,0,0,0
Distance,0,0.01,1.87,0.01,0.03,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,0,0.01,4.68,0.01,0.08,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:17:52
Interval Count,10.2,0,17.36,0,0,0,0,0,0,0,0,0,0,0,0
Average m/min.,4.08,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0
Distance,4.08,0.01,8.82,0.01,0.03,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,10.2,0.01,22.04,0.01,0.08,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:18:52
Interval Count,2.87,0,1.72,0.01,1.74,4.28,0,0,0,0,0,0,0,0,0
Average m/min.,1.15,0,0.69,0,0.7,1.71,0,0,0,0,0,0,0,0,0
Distance,5.23,0.01,9.51,0.01,0.73,1.72,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,13.07,0.01,23.76,0.03,1.82,4.29,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:19:52
Interval Count,0,0,24.55,0.49,0.92,17.99,0,0,0,0,0,0,0,0,0
Average m/min.,0,0,9.81,0.2,0.36,7.19,0,0,0,0,0,0,0,0,0
Distance,5.23,0.01,19.33,0.21,1.09,8.91,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01
Total Counts,13.07,0.01,48.32,0.51,2.74,22.28,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:20:52
Interval Count,13.59,0,0.88,1.87,1.38,5.25,0,4.47,0.18,0,0,0,0,0,0
Average m/min.,5.43,0,0.35,0.74,0.56,2.1,0,1.79,0.07,0,0,0,0,0,0
Distance,10.66,0.01,19.68,0.95,1.65,11.01,0.01,1.85,0.08,0.01,0.01,0.01,0.01,0,0.01
Total Counts,26.66,0.01,49.2,2.38,4.12,27.53,0.01,4.63,0.2,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:21:52
Interval Count,0.3,0,22.96,1.33,8.5,14.08,0,2.71,0,1.82,1.33,0.14,0,0,0
Average m/min.,0.12,0,9.17,0.53,3.4,5.63,0,1.09,0,0.72,0.53,0.05,0,0,0
Distance,10.78,0.01,28.86,1.48,5.05,16.64,0.01,2.94,0.08,0.73,0.54,0.06,0.01,0,0.01
Total Counts,26.96,0.01,72.16,3.71,12.62,41.61,0.01,7.34,0.2,1.83,1.34,0.16,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:22:52
