,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_Y_maze_8-15-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 9/2/2017 15:39:45
,     Stop Time: ~9/12/2017 15:39:45


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, 16, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



 09/02/2017 15:32:16
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Distance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 15:33:16
Interval Count,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 15:34:16
Interval Count,0.00,0.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 15:35:16
Interval Count,0.00,5.88,0.05,0.18,0.22,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,2.35,0.02,0.07,0.09,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,2.35,1.94,0.07,0.09,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,5.88,4.86,0.18,0.22,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 15:36:16
Interval Count,0.00,8.16,2.21,3.03,2.38,0.03,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,3.27,0.89,1.21,0.95,0.01,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,5.62,2.83,1.28,1.04,0.01,0.01,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,14.04,7.07,3.21,2.61,0.03,0.01,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


 15:37:16
Interval Count,0.00,12.28,8.89,4.28,0.00,1.39,0.00,0.00,0.72,0.01,0.74,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,4.91,3.55,1.71,0.00,0.56,0.00,0.00,0.29,0.01,0.29,0.00,0.00,0.00,0.00,0.00,
Distance,0.00,10.53,6.38,2.99,1.04,0.57,0.01,0.00,0.41,0.01,0.29,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,26.32,15.96,7.49,2.61,1.42,0.01,0.00,1.01,0.01,0.74,0.00,0.00,0.00,0.00,0.00,


 15:38:16
Interval Count,0.00,0.24,11.63,0.09,4.76,2.03,0.00,0.00,1.76,0.00,17.61,1.50,0.00,0.01,0.00,0.00,
Average m/min.,0.00,0.09,4.66,0.04,1.91,0.81,0.00,0.00,0.70,0.00,7.05,0.60,0.00,0.01,0.00,0.00,
Distance,0.00,10.62,11.04,3.03,2.95,1.38,0.01,0.00,1.11,0.01,7.34,0.60,0.00,0.01,0.00,0.00,
Total Counts,0.00,26.55,27.59,7.58,7.37,3.45,0.01,0.00,2.78,0.01,18.34,1.50,0.00,0.01,0.00,0.00,


 15:39:16
Interval Count,0.00,4.08,0.00,1.16,0.11,0.07,0.00,0.00,4.42,1.14,2.57,4.29,0.64,1.72,0.26,0.00,
Average m/min.,0.00,1.63,0.00,0.46,0.04,0.03,0.00,0.00,1.77,0.45,1.02,1.72,0.26,0.68,0.11,0.00,
