Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Duration	Distance	Mean speed	Line crossings	Max speed	A : entries	A : time	A : distance	A : average speed	A : mean visit	A : mean distance to border	A : time getting closer to zone	A : time getting further from zone	B : entries	B : time	B : distance	B : average speed	B : mean visit	B : mean distance to border	B : time getting closer to zone	B : time getting further from zone	C : entries	C : time	C : distance	C : average speed	C : mean visit	C : mean distance to border	C : time getting closer to zone	C : time getting further from zone	A0 : entries	A0 : time	A0 : mean distance to border	A0 : time getting closer to zone	A0 : time getting further from zone	Center : entries	Center : time	Center : time getting closer to zone	Center : time getting further from zone	Group
1	1	A	A	First stage	1	Y Maze Wolff	0 - 1 secs.	1.0	0.000	0.000	0	0.070	0	0.0	0.000				0.2	0.5	0	0.0	0.000				0.2	0.5	0	0.0	0.000				0.2	0.5	1	1.0	0.033	0.0	0.0	0	0.0	0.2	0.5	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	1 - 2 secs.	1.0	0.026	0.026	0	0.057	0	0.0	0.000				0.1	0.7	0	0.0	0.000				0.2	0.7	0	0.0	0.000				0.1	0.8	0	1.0	0.036	0.0	0.0	0	0.0	0.1	0.8	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	2 - 3 secs.	1.0	0.094	0.094	0	0.112	0	0.0	0.000				0.7	0.0	0	0.0	0.000				0.7	0.3	0	0.0	0.000				1.0	0.0	0	1.0	0.034	0.0	0.0	0	0.0	0.7	0.0	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	3 - 4 secs.	1.0	0.061	0.061	1	0.092	1	0.3	0.000	0.195	0.3	0.023	0.2	0.0	0	0.0	0.000				0.7	0.0	0	0.0	0.000				0.7	0.0	0	0.7	0.035	0.0	0.2	0	0.0	0.7	0.0	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	4 - 5 secs.	1.0	0.032	0.032	0	0.086	0	1.0	0.032	0.042	1.0	0.032	0.0	0.0	0	0.0	0.000				0.8	0.2	0	0.0	0.000				0.8	0.2	0	0.0		0.2	0.8	0	0.0	0.8	0.2	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	5 - 6 secs.	1.0	0.125	0.125	0	0.140	0	1.0	0.125	0.120	1.0	0.027	0.0	0.0	0	0.0	0.000				0.9	0.0	0	0.0	0.000				0.9	0.0	0	0.0		0.0	0.9	0	0.0	0.9	0.0	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	6 - 7 secs.	1.0	0.031	0.031	0	0.134	0	1.0	0.031	0.062	1.0	0.032	0.0	0.0	0	0.0	0.000				0.5	0.4	0	0.0	0.000				0.5	0.4	0	0.0		0.4	0.5	0	0.0	0.5	0.4	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	7 - 8 secs.	1.0	0.055	0.055	0	0.131	0	1.0	0.055	0.067	1.0	0.029	0.0	0.0	0	0.0	0.000				0.9	0.1	0	0.0	0.000				0.9	0.1	0	0.0		0.1	0.9	0	0.0	0.9	0.1	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	8 - 9 secs.	1.0	0.023	0.023	0	0.045	0	1.0	0.023	0.000	1.0	0.022	0.0	0.0	0	0.0	0.000				0.5	0.2	0	0.0	0.000				0.5	0.2	0	0.0		0.1	0.3	0	0.0	0.3	0.1	Irrad
1	1	A	A	First stage	1	Y Maze Wolff	9 - 10 secs.	1.0	0.055	0.055	1	0.078	0	0.3	0.031	0.000	0.3	0.013	0.0	0.6	0	0.0	0.000				0.7	0.1	0	0.0	0.000				0.9	0.0	0	0.0		0.0	0.9	1	0.7	0.2	0.0	Irrad
