Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Distance	Mean speed	Time mobile	Time immobile	A : entries	A : time	A : distance	A : mean distance from	A : mean distance to border	B : entries	B : time	B : distance	B : mean distance from	B : mean distance to border	C : entries	C : time	C : distance	C : mean distance from	C : mean distance to border	A0 : entries	A0 : time	A0 : distance	A0 : mean distance from	A0 : mean distance to border	Center : entries	Center : time	Center : distance	Center : mean distance from	Center : mean distance to border	Group	ID
1	1	A	A	First stage	1	Y Maze Wolff	0 - 1 secs.	0.000	0.000	0.9	0.1	1	0.1	0.000	0.003	0.000	0	0.0	0.000	0.359		0	0.0	0.000	0.351		1	0.9	0.000	0.002	0.002	0	0.0	0.000	0.301		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	1 - 2 secs.	0.000	0.000	0.0	1.0	0	1.0	0.000		0.000	0	0.0	0.000	0.357		0	0.0	0.000	0.351		0	0.0	0.000	0.002		0	0.0	0.000	0.299		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	2 - 3 secs.	0.000	0.000	0.0	1.0	0	1.0	0.000	0.003	0.000	0	0.0	0.000	0.357		0	0.0	0.000	0.351		1	0.0	0.000	0.002	0.002	0	0.0	0.000	0.299		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	3 - 4 secs.	0.000	0.000	0.0	1.0	2	0.4	0.000	0.003	0.000	0	0.0	0.000	0.358		0	0.0	0.000	0.352		2	0.7	0.000	0.002	0.002	0	0.0	0.000	0.300		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	4 - 5 secs.	0.000	0.000	0.0	1.0	2	0.5	0.000	0.003	0.000	0	0.0	0.000	0.357		0	0.0	0.000	0.352		1	0.5	0.000	0.002	0.002	0	0.0	0.000	0.300		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	5 - 6 secs.	0.000	0.000	0.0	1.0	2	0.5	0.000	0.003	0.000	0	0.0	0.000	0.357		0	0.0	0.000	0.352		3	0.5	0.000	0.002	0.002	0	0.0	0.000	0.300		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	6 - 7 secs.	0.000	0.000	0.0	1.0	3	0.4	0.000	0.003	0.000	0	0.0	0.000	0.357		0	0.0	0.000	0.352		2	0.6	0.000	0.002	0.002	0	0.0	0.000	0.300		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	7 - 8 secs.	0.000	0.000	0.0	1.0	3	0.4	0.000	0.003	0.000	0	0.0	0.000	0.357		0	0.0	0.000	0.352		3	0.6	0.000	0.002	0.002	0	0.0	0.000	0.300		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	8 - 9 secs.	0.000	0.000	0.1	0.9	0	0.3	0.000	0.004	0.000	0	0.0	0.000	0.358		0	0.0	0.000	0.353		1	0.7	0.000	0.002	0.002	0	0.0	0.000	0.301		Sham-Wheel	2
1	1	A	A	First stage	1	Y Maze Wolff	9 - 10 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.005		0	0.0	0.000	0.359		0	0.0	0.000	0.355		0	1.0	0.000		0.003	0	0.0	0.000	0.302		Sham-Wheel	2
