Day	Date	Time	201808 reversal1-25:Irrad	201808 reversal1-26:Sham	201808 reversal1-28:Irrad	201809 reversal-13:Sham	201809 reversal-14:Irrad	201809 reversal-15:Irrad	201809 reversal-16:Sham	201810 reversal-17:Sham	201810 reversal-18:Irrad	201810 reversal-20:Sham	201811 reversal1-17:Irrad	201811 reversal1-18:Sham	201811 reversal1-20:Irrad	201811 reversal2-21:Irrad	201811 reversal2-22:Sham	201811 reversal2-23:Sham	201811 reversal2-24:Irrad	201812 reversal-1:Sham	201812 reversal-2:Irrad	201812 reversal-3:Sham	201812 reversal-4:Irrad
-5	1950-05-27	17:12	nan	nan	nan	203.462	165.051	0.000	160.431	22.830	64.380	357.014	238.820	112.264	0.000	0.000	183.325	101.892	233.284	131.395	208.479	141.803	231.773
-5	1950-05-27	17:13	nan	nan	nan	133.539	189.141	0.000	152.866	77.129	122.548	225.947	236.291	187.448	0.000	0.000	164.514	165.498	173.539	147.012	149.991	161.234	287.352
-5	1950-05-27	17:14	nan	nan	nan	13.632	202.818	0.000	10.340	32.856	121.389	182.863	183.662	95.392	0.000	0.000	130.638	45.457	182.345	121.037	216.182	128.220	222.124
-5	1950-05-27	17:15	nan	nan	nan	77.649	0.000	0.000	75.035	79.196	116.402	194.682	97.368	101.233	0.000	0.000	111.376	0.000	166.933	134.530	259.667	147.407	267.275
-5	1950-05-27	17:16	nan	nan	nan	219.045	0.000	0.000	18.502	97.081	181.265	286.284	166.949	0.000	0.000	0.000	72.598	0.000	250.807	214.366	135.046	158.703	178.139
-5	1950-05-27	17:17	nan	nan	nan	149.476	0.000	0.000	72.157	105.605	128.749	158.990	94.904	0.000	0.000	0.000	114.224	0.000	191.139	164.914	129.168	109.026	212.279
-5	1950-05-27	17:18	nan	nan	nan	214.385	0.000	153.755	0.000	57.582	170.566	98.454	215.461	0.000	0.000	0.000	83.371	0.000	177.064	210.192	171.487	161.047	192.470
-5	1950-05-27	17:19	nan	nan	nan	190.343	41.021	131.484	0.000	71.560	173.075	151.859	87.289	0.000	0.000	0.000	107.556	0.000	159.831	141.918	151.705	126.949	206.243
-5	1950-05-27	17:20	nan	nan	nan	216.079	0.000	41.836	0.000	65.609	150.097	116.375	143.271	0.000	0.000	0.000	0.000	0.000	238.549	111.449	187.523	145.641	168.556
-5	1950-05-27	17:21	nan	nan	nan	227.408	31.301	109.370	0.000	108.741	113.541	87.197	145.470	0.000	0.000	0.000	126.381	0.000	181.619	176.882	92.992	139.040	154.626
-5	1950-05-27	17:22	nan	nan	nan	234.422	0.000	24.163	0.000	101.958	143.407	156.394	93.614	0.000	0.000	0.000	187.069	127.705	216.310	186.961	170.246	82.052	149.980
-5	1950-05-27	17:23	nan	nan	nan	206.706	91.448	105.169	0.000	71.405	70.764	97.575	65.358	0.000	0.000	0.000	0.000	48.869	196.699	190.855	87.272	142.418	205.404
-5	1950-05-27	17:24	nan	nan	nan	180.222	21.734	0.000	119.438	108.751	87.986	64.429	48.201	0.000	0.000	151.124	75.692	0.000	211.192	151.822	165.118	108.040	159.317
-5	1950-05-27	17:25	nan	nan	nan	123.639	0.000	48.913	89.203	147.861	146.533	49.619	150.545	0.000	0.000	217.096	0.000	0.000	143.491	195.163	140.602	127.580	211.384
-5	1950-05-27	17:26	nan	nan	nan	140.301	40.644	42.401	89.092	124.831	192.052	120.411	63.220	0.000	0.000	124.348	0.000	0.000	213.831	131.853	144.724	159.337	190.149
-5	1950-05-27	17:27	nan	nan	nan	192.206	0.000	75.235	160.827	124.747	85.206	148.428	98.156	0.000	0.000	0.000	23.027	0.000	164.074	210.160	104.454	86.540	207.424
-5	1950-05-27	17:28	nan	nan	nan	185.909	47.629	130.195	72.593	102.712	139.234	133.160	107.413	0.000	0.000	0.000	0.000	0.000	186.904	207.537	104.022	136.316	210.565
-5	1950-05-27	17:29	nan	nan	nan	187.552	0.000	105.259	0.000	159.071	171.768	114.659	0.000	0.000	0.000	0.000	71.319	0.000	177.639	157.936	118.369	27.550	168.345
