poke,correct,pellet,datetime,segment
1,1,0,2018-10-01 14:22:18.281015,2
1,1,0,2018-10-01 14:22:25.521005,2
2,0,0,2018-10-01 14:22:45.141000,2
1,1,0,2018-10-01 14:22:51.247019,2
1,1,0,2018-10-01 14:23:51.908029,2
2,0,0,2018-10-01 14:23:55.310983,2
3,0,0,2018-10-01 14:24:00.248972,2
3,0,0,2018-10-01 14:24:03.620004,2
3,0,0,2018-10-01 14:24:04.820993,2
1,1,1,2018-10-01 14:24:17.133005,2
1,1,0,2018-10-01 14:24:22.070993,2
3,0,0,2018-10-01 14:24:31.948007,2
3,0,0,2018-10-01 14:24:45.727976,2
2,0,0,2018-10-01 14:24:47.963999,2
3,0,0,2018-10-01 14:25:29.037973,2
3,0,0,2018-10-01 14:25:31.773996,2
1,1,0,2018-10-01 14:25:40.283029,2
1,1,0,2018-10-01 14:25:41.417001,2
1,1,0,2018-10-01 14:25:43.286020,2
1,1,1,2018-10-01 14:25:55.865000,2
3,0,0,2018-10-01 14:26:18.854990,2
3,0,0,2018-10-01 14:26:22.158029,2
1,1,0,2018-10-01 14:26:33.169016,2
1,1,0,2018-10-01 14:26:38.841013,2
2,0,0,2018-10-01 14:27:09.838999,2
3,0,0,2018-10-01 14:27:32.395029,2
2,0,0,2018-10-01 14:27:34.529978,2
3,0,0,2018-10-01 14:28:00.690012,2
3,0,0,2018-10-01 14:28:03.659982,2
3,0,0,2018-10-01 14:28:11.099985,2
2,0,0,2018-10-01 14:28:41.698007,2
2,0,0,2018-10-01 14:28:42.398020,2
3,0,0,2018-10-01 14:29:27.677011,2
2,0,0,2018-10-01 14:29:36.151987,2
1,1,0,2018-10-01 14:29:39.455026,2
1,1,0,2018-10-01 14:29:39.789011,2
1,1,1,2018-10-01 14:29:41.623972,2
2,0,0,2018-10-01 14:30:07.250009,2
3,0,0,2018-10-01 14:30:18.695017,2
2,0,0,2018-10-01 14:30:28.771005,2
2,0,0,2018-10-01 14:30:32.841989,2
2,0,0,2018-10-01 14:30:36.646005,2
3,0,0,2018-10-01 14:30:45.154001,2
3,0,0,2018-10-01 14:30:56.331979,2
2,0,0,2018-10-01 14:31:25.494943,2
2,0,0,2018-10-01 14:32:00.096018,2
1,1,0,2018-10-01 14:32:02.565012,2
2,0,0,2018-10-01 14:32:22.784982,2
2,0,0,2018-10-01 14:32:29.091989,2
3,0,0,2018-10-01 14:32:43.372995,2
1,1,0,2018-10-01 14:32:48.544016,2
1,1,0,2018-10-01 14:32:49.579050,2
1,1,0,2018-10-01 14:32:53.549021,2
1,1,1,2018-10-01 14:32:53.683054,2
1,1,0,2018-10-01 14:32:55.251047,2
1,1,0,2018-10-01 14:33:18.908029,2
2,0,0,2018-10-01 14:33:20.543039,2
2,0,0,2018-10-01 14:33:38.894968,2
3,0,0,2018-10-01 14:33:44.666940,2
1,1,0,2018-10-01 14:33:55.511057,2
3,0,0,2018-10-01 14:34:05.320993,2
3,0,0,2018-10-01 14:34:10.627023,2
3,0,0,2018-10-01 14:34:12.394968,2
3,0,0,2018-10-01 14:34:56.138986,2
2,0,0,2018-10-01 14:36:47.116037,2
1,1,0,2018-10-01 14:36:49.851999,2
1,1,1,2018-10-01 14:36:50.852976,2
1,1,0,2018-10-01 14:37:22.050974,2
2,0,0,2018-10-01 14:37:23.018991,2
1,1,0,2018-10-01 14:37:58.721018,2
1,1,0,2018-10-01 14:38:12.134958,2
1,1,0,2018-10-01 14:38:13.769968,2
1,1,1,2018-10-01 14:38:16.706003,2
3,0,0,2018-10-01 14:38:21.544016,2
2,0,0,2018-10-01 14:38:54.043039,2
1,1,0,2018-10-01 14:40:07.617014,2
3,0,0,2018-10-01 14:40:09.252023,2
2,0,0,2018-10-01 14:40:11.320993,2
1,1,0,2018-10-01 14:40:17.126047,2
1,1,0,2018-10-01 14:40:26.636057,2
1,1,0,2018-10-01 14:40:26.970041,2
3,0,0,2018-10-01 14:40:45.254953,2
2,0,0,2018-10-01 14:40:53.496042,2
2,0,0,2018-10-01 14:40:56.966013,2
1,1,1,2018-10-01 14:41:02.571970,2
1,1,0,2018-10-01 14:41:03.206003,2
3,0,0,2018-10-01 14:41:10.045969,2
1,1,0,2018-10-01 14:41:15.217966,2
1,1,0,2018-10-01 14:41:15.585031,2
1,1,0,2018-10-01 14:41:17.487009,2
2,0,0,2018-10-01 14:41:23.793039,2
3,0,0,2018-10-01 14:41:31.367014,2
1,1,1,2018-10-01 14:41:35.204050,2
1,1,0,2018-10-01 14:41:44.046945,2
1,1,0,2018-10-01 14:41:49.185007,2
1,1,0,2018-10-01 14:41:50.519968,2
2,0,0,2018-10-01 14:41:51.587961,2
3,0,0,2018-10-01 14:42:19.181955,2
1,1,0,2018-10-01 14:42:26.789011,2
3,0,0,2018-10-01 14:42:53.982980,2
3,0,0,2018-10-01 14:43:23.513010,2
3,0,0,2018-10-01 14:43:25.180979,2
3,0,0,2018-10-01 14:45:03.513010,2
