poke,correct,pellet,datetime,segment
3,0,0,2018-10-01 15:47:22.150949,2
1,1,0,2018-10-01 15:47:27.357004,2
1,1,0,2018-10-01 15:47:30.393137,2
3,0,0,2018-10-01 15:47:40.937082,2
2,0,0,2018-10-01 15:47:43.940012,2
1,1,0,2018-10-01 15:47:54.417062,2
3,0,0,2018-10-01 15:50:08.050852,2
3,0,0,2018-10-01 15:50:14.891184,2
1,1,0,2018-10-01 15:50:29.372141,2
3,0,0,2018-10-01 15:50:31.673898,2
3,0,0,2018-10-01 15:50:52.996164,2
1,1,1,2018-10-01 15:51:07.210031,2
1,1,0,2018-10-01 15:51:35.070871,2
1,1,0,2018-10-01 15:51:36.139230,2
1,1,0,2018-10-01 15:52:01.331125,2
2,0,0,2018-10-01 15:52:02.332102,2
1,1,0,2018-10-01 15:52:14.610910,2
1,1,1,2018-10-01 15:52:15.745188,2
1,1,0,2018-10-01 15:52:15.878000,2
1,1,0,2018-10-01 15:52:16.980051,2
1,1,0,2018-10-01 15:52:23.252023,2
3,0,0,2018-10-01 15:52:40.302805,2
2,0,0,2018-10-01 15:52:53.115793,2
1,1,0,2018-10-01 15:53:06.295969,2
1,1,1,2018-10-01 15:53:07.063059,2
1,1,0,2018-10-01 15:53:08.331125,2
1,1,0,2018-10-01 15:53:15.605051,2
1,1,0,2018-10-01 15:53:17.339914,2
3,0,0,2018-10-01 15:53:35.058176,2
3,0,0,2018-10-01 15:53:37.092844,2
2,0,0,2018-10-01 15:53:37.426828,2
1,1,0,2018-10-01 15:54:02.452219,2
2,0,0,2018-10-01 15:54:03.385812,2
2,0,0,2018-10-01 15:54:04.086984,2
2,0,0,2018-10-01 15:54:04.720773,2
1,1,1,2018-10-01 15:54:18.268137,2
2,0,0,2018-10-01 15:54:37.486887,2
3,0,0,2018-10-01 15:54:47.664133,2
3,0,0,2018-10-01 15:55:04.514230,2
3,0,0,2018-10-01 15:55:06.582102,2
3,0,0,2018-10-01 15:55:12.487863,2
3,0,0,2018-10-01 15:55:15.657785,2
2,0,0,2018-10-01 15:55:23.398996,2
2,0,0,2018-10-01 15:55:23.465891,2
3,0,0,2018-10-01 15:55:25.835031,2
2,0,0,2018-10-01 15:55:26.802805,2
3,0,0,2018-10-01 15:55:27.669992,2
2,0,0,2018-10-01 15:55:28.972238,2
2,0,0,2018-10-01 15:55:53.795969,2
1,1,0,2018-10-01 15:56:29.798898,2
1,1,0,2018-10-01 15:56:30.667062,2
1,1,0,2018-10-01 15:57:22.050852,2
1,1,0,2018-10-01 15:57:22.285227,2
1,1,1,2018-10-01 15:57:29.225168,2
2,0,0,2018-10-01 15:57:31.995188,2
1,1,0,2018-10-01 15:57:49.078195,2
2,0,0,2018-10-01 15:58:10.600168,2
3,0,0,2018-10-01 15:58:15.972238,2
3,0,0,2018-10-01 15:58:31.354074,2
1,1,0,2018-10-01 15:58:51.207102,2
2,0,0,2018-10-01 15:59:13.496164,2
2,0,0,2018-10-01 15:59:14.363840,2
1,1,0,2018-10-01 15:59:53.102121,2
2,0,0,2018-10-01 15:59:54.704172,2
3,0,0,2018-10-01 16:00:00.410227,2
1,1,0,2018-10-01 16:00:09.686105,2
2,0,0,2018-10-01 16:00:11.120188,2
1,1,1,2018-10-01 16:00:34.877023,2
1,1,0,2018-10-01 16:00:37.179758,2
3,0,0,2018-10-01 16:00:42.551828,2
3,0,0,2018-10-01 16:00:42.619211,2
3,0,0,2018-10-01 16:01:17.453195,2
1,1,0,2018-10-01 16:02:16.746164,2
3,0,0,2018-10-01 16:02:45.107980,2
2,0,0,2018-10-01 16:02:46.309152,2
1,1,0,2018-10-01 17:09:54.070383,2
2,0,0,2018-10-01 17:10:41.350656,2
3,0,0,2018-10-01 17:11:07.210031,2
1,1,0,2018-10-01 17:12:04.534250,2
1,1,1,2018-10-01 17:12:14.577219,2
1,1,0,2018-10-01 17:12:14.711008,2
1,1,0,2018-10-01 17:12:15.445383,2
2,0,0,2018-10-01 17:12:53.916086,2
2,0,0,2018-10-01 17:12:55.183664,2
3,0,0,2018-10-01 17:13:46.836008,2
2,0,0,2018-10-01 17:14:02.619211,2
3,0,0,2018-10-01 17:14:03.753000,2
2,0,0,2018-10-01 17:14:04.419992,2
1,1,0,2018-10-01 17:14:19.202219,2
3,0,0,2018-10-01 17:14:25.173898,2
2,0,0,2018-10-01 17:14:25.608469,2
1,1,0,2018-10-01 17:14:40.022531,2
3,0,0,2018-10-01 17:14:48.964914,2
1,1,1,2018-10-01 17:15:08.517648,2
1,1,0,2018-10-01 17:15:10.018625,2
2,0,0,2018-10-01 17:16:08.010812,2
2,0,0,2018-10-01 17:16:09.011789,2
2,0,0,2018-10-01 17:17:00.029367,2
3,0,0,2018-10-01 17:17:00.762766,2
2,0,0,2018-10-01 17:17:37.533273,2
1,1,0,2018-10-01 17:18:33.755930,2
3,0,0,2018-10-01 17:18:56.579172,2
1,1,0,2018-10-01 17:19:11.727609,2
3,0,0,2018-10-01 17:19:25.942453,2
2,0,0,2018-10-01 17:19:53.302805,2
1,1,0,2018-10-01 17:20:08.818430,2
3,0,0,2018-10-01 17:20:21.930734,2
1,1,1,2018-10-01 17:20:29.605539,2
1,1,0,2018-10-01 17:20:37.479562,2
1,1,0,2018-10-01 17:20:42.919016,2
1,1,0,2018-10-01 17:20:44.019602,2
