poke,correct,pellet,datetime,segment
3,0,0,2018-11-26 12:45:05.320061,2
1,1,0,2018-11-26 12:45:13.927971,2
1,1,0,2018-11-26 12:45:14.795891,2
1,1,0,2018-11-26 12:45:18.466057,2
1,1,0,2018-11-26 12:45:38.419914,2
3,0,0,2018-11-26 12:45:49.430900,2
1,1,1,2018-11-26 12:46:03.812004,2
1,1,0,2018-11-26 12:46:08.816887,2
1,1,0,2018-11-26 12:46:10.751945,2
3,0,0,2018-11-26 12:46:25.467033,2
1,1,0,2018-11-26 12:46:41.049064,2
1,1,0,2018-11-26 12:46:50.058098,2
2,0,0,2018-11-26 12:47:34.269035,2
1,1,1,2018-11-26 12:47:50.751945,2
3,0,0,2018-11-26 12:48:36.865227,2
2,0,0,2018-11-26 12:48:44.171867,2
1,1,0,2018-11-26 12:48:46.440910,2
1,1,0,2018-11-26 12:48:47.208000,2
1,1,0,2018-11-26 12:48:48.076164,2
1,1,0,2018-11-26 12:49:03.757805,2
1,1,1,2018-11-26 12:49:05.526848,2
1,1,0,2018-11-26 12:49:07.595207,2
3,0,0,2018-11-26 12:49:12.833977,2
2,0,0,2018-11-26 12:49:13.667961,2
2,0,0,2018-11-26 12:49:14.102043,2
2,0,0,2018-11-26 12:49:16.103996,2
2,0,0,2018-11-26 12:49:42.097160,2
2,0,0,2018-11-26 12:49:42.931145,2
2,0,0,2018-11-26 12:50:05.720207,2
3,0,0,2018-11-26 12:50:18.899895,2
1,1,0,2018-11-26 12:51:10.317863,2
1,1,0,2018-11-26 12:51:13.555168,2
3,0,0,2018-11-26 12:51:29.737785,2
2,0,0,2018-11-26 12:51:31.071770,2
1,1,0,2018-11-26 12:51:40.547844,2
3,0,0,2018-11-26 12:51:51.759758,2
1,1,1,2018-11-26 12:52:10.711906,2
3,0,0,2018-11-26 12:52:55.457023,2
1,1,0,2018-11-26 12:53:02.363762,2
2,0,0,2018-11-26 12:53:17.178215,2
2,0,0,2018-11-26 12:53:34.095207,2
1,1,0,2018-11-26 12:53:36.498039,2
1,1,0,2018-11-26 12:53:41.068840,2
1,1,0,2018-11-26 12:53:42.603996,2
1,1,1,2018-11-26 12:53:43.771965,2
1,1,0,2018-11-26 12:53:45.073234,2
1,1,0,2018-11-26 12:53:46.908195,2
