poke,correct,pellet,datetime,segment
1,1,0,2018-11-26 13:35:54.568840,2
1,1,0,2018-11-26 13:35:59.975090,2
2,0,0,2018-11-26 13:36:01.775871,2
2,0,0,2018-11-26 13:36:02.811027,2
1,1,0,2018-11-26 13:36:05.013176,2
3,0,0,2018-11-26 13:37:04.004875,2
3,0,0,2018-11-26 13:37:12.046867,2
3,0,0,2018-11-26 13:37:19.920891,2
3,0,0,2018-11-26 13:37:20.622062,2
1,1,0,2018-11-26 13:39:10.665031,2
1,1,1,2018-11-26 13:39:10.865227,2
1,1,0,2018-11-26 13:39:16.270988,2
1,1,0,2018-11-26 13:39:16.871086,2
1,1,0,2018-11-26 13:39:20.208000,2
2,0,0,2018-11-26 13:39:42.963859,2
2,0,0,2018-11-26 13:40:03.785148,2
1,1,0,2018-11-26 13:41:15.223137,2
1,1,1,2018-11-26 13:41:59.601066,2
2,0,0,2018-11-26 13:42:19.086906,2
2,0,0,2018-11-26 13:42:19.454094,2
2,0,0,2018-11-26 13:42:21.355949,2
1,1,0,2018-11-26 13:42:30.965812,2
1,1,0,2018-11-26 13:42:32.600090,2
1,1,0,2018-11-26 13:44:52.140129,2
3,0,0,2018-11-26 13:45:00.682121,2
1,1,0,2018-11-26 13:45:50.631828,2
1,1,1,2018-11-26 13:46:06.448234,2
1,1,0,2018-11-26 13:46:08.048820,2
1,1,0,2018-11-26 13:46:08.916984,2
1,1,0,2018-11-26 13:46:09.149895,2
1,1,0,2018-11-26 13:46:11.418938,2
2,0,0,2018-11-26 13:47:10.944816,2
1,1,1,2018-11-26 13:47:12.414055,2
2,0,0,2018-11-26 13:47:16.685051,2
2,0,0,2018-11-26 13:47:21.990227,2
1,1,0,2018-11-26 13:47:59.928215,2
1,1,0,2018-11-26 13:48:01.795891,2
1,1,0,2018-11-26 13:48:02.097160,2
3,0,0,2018-11-26 13:48:07.035148,2
1,1,0,2018-11-26 13:49:28.649895,2
1,1,1,2018-11-26 13:49:47.702141,2
1,1,0,2018-11-26 13:51:47.921867,2
1,1,0,2018-11-26 13:51:48.355949,2
1,1,0,2018-11-26 15:51:55.563469,2
2,0,0,2018-11-26 15:51:58.632805,2
1,1,0,2018-11-26 15:52:08.142570,2
1,1,1,2018-11-26 15:53:12.040031,2
1,1,0,2018-11-26 15:54:20.041008,2
2,0,0,2018-11-26 15:54:24.144523,2
1,1,0,2018-11-26 15:54:25.480461,2
1,1,0,2018-11-26 15:55:42.957023,2
3,0,0,2018-11-26 15:55:57.838859,2
1,1,0,2018-11-26 15:56:46.955070,2
2,0,0,2018-11-26 15:56:58.298820,2
1,1,1,2018-11-26 15:57:59.426750,2
2,0,0,2018-11-26 15:58:01.997062,2
1,1,0,2018-11-26 15:58:20.681633,2
2,0,0,2018-11-26 15:58:21.749992,2
1,1,0,2018-11-26 15:58:23.118156,2
1,1,0,2018-11-26 15:58:31.225578,2
1,1,0,2018-11-26 15:59:54.576164,2
1,1,1,2018-11-26 16:00:15.095695,2
1,1,0,2018-11-26 16:01:18.693352,2
1,1,0,2018-11-26 16:01:19.494133,2
1,1,0,2018-11-26 16:02:01.903312,2
2,0,0,2018-11-26 16:03:33.894523,2
2,0,0,2018-11-26 16:03:36.197258,2
2,0,0,2018-11-26 16:03:36.998039,2
2,0,0,2018-11-26 16:03:47.474602,2
2,0,0,2018-11-26 16:03:49.310539,2
3,0,0,2018-11-26 16:04:03.057609,2
3,0,0,2018-11-26 16:04:05.793938,2
3,0,0,2018-11-26 16:04:08.563469,2
1,1,0,2018-11-26 16:05:09.858391,2
